#FILE:                       ,char_NF_24_06_10.dsu            ,,,,
#FORMAT:                     ,NETZSCH5                        ,,,,
#IDENTITY:                   ,char NF                         ,,,,
#DECIMAL:                    ,POINT                           ,,,,
#SEPARATOR:                  ,COMMA                           ,,,,
#MTYPE:                      ,DTA                             ,,,,
#MSUBTYPE:                   ,                                ,,,,
#INSTRUMENT:                 ,NETZSCH STA 449 C               ,,,,
#PROJECT:                    ,Torrefaction                    ,,,,
#DATE/TIME:                  ,24/06/2010 19:20:25             ,,,,
#CORR. FILE:                 ,char_GF_23_06_10.bsu            ,,,,
#LABORATORY:                 ,Sustainable Research Energ      ,,,,
#OPERATOR:                   ,EMF                             ,,,,
#REMARK:                     ,                                ,,,,
#SAMPLE:                     ,nonisoth oxid with init drying  ,,,,
#SAMPLE MASS /mg:            ,9.83,,,,
#MATERIAL:                   ,Alumina                         ,,,,
#REFERENCE:                  ,Alumina                         ,,,,
#REFERENCE MASS /mg:         ,0,,,,
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3           ,,,,
#SAMPLE CRUCIBLE MASS /mg:   ,0,,,,
#REFERENCE CRUCIBLE MASS /mg:,0,,,,
#CORR. CODE:                 ,20,,,,
#EXO:                        ,-1,,,,
#RANGE:                      ,30.0....900.0/-20.0....10.0K/min,,99.39519369,,
#SEGMENT:                    ,S1-5/5                          ,,99.38100029,,
,,,11.11044998,,
##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),Segment
38.526,1.91,-0.48434,99.91455,9.24E-02,1
38.573,1.92,-0.48697,99.91455,9.24E-02,1
38.632,1.93,-0.49921,99.91556,9.25E-02,1
38.687,1.94,-0.50319,99.9176,9.25E-02,1
38.74,1.95,-0.50855,99.9176,9.25E-02,1
38.801,1.96,-0.52352,99.91963,9.25E-02,1
38.858,1.97,-0.53573,99.91862,9.26E-02,1
38.915,1.98,-0.54106,99.91963,9.26E-02,1
38.974,1.99,-0.54502,99.92065,9.26E-02,1
39.036,2,-0.55034,99.92065,9.27E-02,1
39.099,2.01,-0.56663,99.92065,9.27E-02,1
39.161,2.02,-0.56508,99.92167,9.27E-02,1
39.216,2.03,-0.57315,99.92269,9.27E-02,1
39.285,2.04,-0.57844,99.92269,9.28E-02,1
39.348,2.05,-0.58784,99.92269,9.28E-02,1
39.409,2.06,-0.59865,99.9237,9.28E-02,1
39.463,2.07,-0.6012,99.92472,9.29E-02,1
39.535,2.08,-0.61741,99.92472,9.29E-02,1
39.604,2.09,-0.61994,99.92574,9.29E-02,1
39.692,2.1,-0.62513,99.92574,9.30E-02,1
39.732,2.11,-0.63457,99.92574,9.30E-02,1
39.798,2.12,-0.64257,99.92472,9.30E-02,1
39.877,2.13,-0.65188,99.9237,9.30E-02,1
39.947,2.14,-0.66121,99.9237,9.31E-02,1
40.029,2.15,-0.66777,99.92269,9.31E-02,1
40.084,2.16,-0.67031,99.92167,9.31E-02,1
40.164,2.17,-0.68778,99.92065,9.32E-02,1
40.235,2.18,-0.69436,99.91963,9.32E-02,1
40.313,2.19,-0.70499,99.91862,9.33E-02,1
40.384,2.2,-0.7102,99.91862,9.33E-02,1
40.46,2.21,-0.71537,99.9176,9.33E-02,1
40.535,2.22,-0.72192,99.91862,9.34E-02,1
40.611,2.23,-0.73253,99.91862,9.34E-02,1
40.691,2.24,-0.7404,99.91963,9.34E-02,1
40.765,2.25,-0.74285,99.92065,9.35E-02,1
40.83,2.26,-0.74941,99.92167,9.35E-02,1
40.915,2.27,-0.75725,99.92269,9.35E-02,1
40.993,2.28,-0.76646,99.9237,9.36E-02,1
41.073,2.29,-0.77838,99.92472,9.36E-02,1
41.163,2.3,-0.79161,99.9237,9.37E-02,1
41.239,2.31,-0.79131,99.9237,9.37E-02,1
41.322,2.32,-0.80319,99.92269,9.37E-02,1
41.4,2.33,-0.81237,99.92269,9.38E-02,1
41.473,2.34,-0.82291,99.92167,9.38E-02,1
41.563,2.35,-0.82796,99.92167,9.38E-02,1
41.636,2.36,-0.8385,99.92167,9.39E-02,1
41.725,2.37,-0.84489,99.92167,9.39E-02,1
41.827,2.38,-0.84987,99.92167,9.40E-02,1
41.901,2.39,-0.86445,99.92167,9.40E-02,1
41.997,2.4,-0.86808,99.92269,9.40E-02,1
42.086,2.41,-0.87851,99.92269,9.41E-02,1
42.168,2.42,-0.88355,99.92472,9.41E-02,1
42.269,2.43,-0.8858,99.92574,9.42E-02,1
42.347,2.44,-0.90301,99.92675,9.42E-02,1
42.427,2.45,-0.90399,99.92879,9.42E-02,1
42.526,2.46,-0.91703,99.92981,9.43E-02,1
42.619,2.47,-0.922,99.93184,9.43E-02,1
42.716,2.48,-0.93233,99.93388,9.44E-02,1
42.803,2.49,-0.9481,99.93388,9.44E-02,1
42.901,2.5,-0.94897,99.93591,9.45E-02,1
43.004,2.51,-0.95657,99.93591,9.45E-02,1
43.087,2.52,-0.96422,99.93693,9.46E-02,1
43.184,2.53,-0.97316,99.93795,9.46E-02,1
43.283,2.54,-0.9794,99.93795,9.47E-02,1
43.364,2.55,-0.99243,99.93896,9.47E-02,1
43.484,2.56,-0.99989,99.93896,9.47E-02,1
43.574,2.57,-1.00615,99.93896,9.48E-02,1
43.657,2.58,-1.01244,99.93896,9.48E-02,1
43.757,2.59,-1.02802,99.93896,9.49E-02,1
43.862,2.6,-1.03418,99.93896,9.49E-02,1
43.963,2.61,-1.03767,99.93795,9.50E-02,1
44.055,2.62,-1.04121,99.93896,9.50E-02,1
44.154,2.63,-1.05006,99.93795,9.51E-02,1
44.262,2.64,-1.06554,99.93795,9.51E-02,1
44.37,2.65,-1.06898,99.93896,9.52E-02,1
44.469,2.66,-1.07112,99.93693,9.52E-02,1
44.574,2.67,-1.08391,99.93795,9.53E-02,1
44.667,2.68,-1.09675,99.93795,9.53E-02,1
44.774,2.69,-1.10417,99.93693,9.54E-02,1
44.891,2.7,-1.10886,99.93693,9.54E-02,1
44.984,2.71,-1.119,99.93693,9.55E-02,1
45.086,2.72,-1.11977,99.93693,9.55E-02,1
45.196,2.73,-1.1298,99.93795,9.56E-02,1
45.291,2.74,-1.13326,99.93795,9.56E-02,1
45.418,2.75,-1.14185,99.93693,9.57E-02,1
45.512,2.76,-1.14796,99.93795,9.57E-02,1
45.618,2.77,-1.15266,99.93795,9.58E-02,1
45.734,2.78,-1.15598,99.93896,9.58E-02,1
45.841,2.79,-1.16731,99.93795,9.59E-02,1
45.941,2.8,-1.17601,99.93896,9.59E-02,1
46.06,2.81,-1.17664,99.93795,9.60E-02,1
46.163,2.82,-1.18398,99.93998,9.60E-02,1
46.273,2.83,-1.19393,99.93896,9.61E-02,1
46.365,2.84,-1.20397,99.93998,9.61E-02,1
46.496,2.85,-1.21112,99.941,9.62E-02,1
46.609,2.86,-1.22767,99.94303,9.62E-02,1
46.72,2.87,-1.23619,99.94405,9.63E-02,1
46.84,2.88,-1.24206,99.94608,9.63E-02,1
46.95,2.89,-1.2427,99.9471,9.64E-02,1
47.054,2.9,-1.24733,99.94914,9.64E-02,1
47.166,2.91,-1.25191,99.95117,9.65E-02,1
47.273,2.92,-1.26179,99.95117,9.65E-02,1
47.387,2.93,-1.27029,99.9532,9.66E-02,1
47.494,2.94,-1.2762,99.9532,9.67E-02,1
47.624,2.95,-1.28327,99.95422,9.67E-02,1
47.74,2.96,-1.2891,99.9532,9.68E-02,1
47.843,2.97,-1.29895,99.9532,9.68E-02,1
47.959,2.98,-1.3074,99.9532,9.69E-02,1
48.084,2.99,-1.30659,99.9532,9.69E-02,1
48.197,3,-1.31504,99.95219,9.70E-02,1
48.322,3.01,-1.32471,99.95117,9.70E-02,1
48.434,3.02,-1.33053,99.95015,9.71E-02,1
48.535,3.03,-1.33903,99.94914,9.72E-02,1
48.657,3.04,-1.34084,99.94812,9.72E-02,1
48.785,3.05,-1.35045,99.94608,9.73E-02,1
48.895,3.06,-1.35494,99.94405,9.73E-02,1
49.011,3.07,-1.35547,99.94201,9.74E-02,1
49.142,3.08,-1.36374,99.93998,9.74E-02,1
49.235,3.09,-1.36572,99.93896,9.75E-02,1
49.367,3.1,-1.37265,99.93795,9.75E-02,1
49.481,3.11,-1.3771,99.93693,9.76E-02,1
49.613,3.12,-1.38011,99.93591,9.77E-02,1
49.728,3.13,-1.38453,99.93591,9.77E-02,1
49.841,3.14,-1.39157,99.93489,9.78E-02,1
49.972,3.15,-1.39847,99.93591,9.78E-02,1
50.084,3.16,-1.40549,99.93693,9.79E-02,1
50.213,3.17,-1.4085,99.93795,9.80E-02,1
50.326,3.18,-1.4129,99.93693,9.80E-02,1
50.447,3.19,-1.42762,99.93896,9.81E-02,1
50.582,3.2,-1.42538,99.93795,9.81E-02,1
50.693,3.21,-1.43497,99.93795,9.82E-02,1
50.813,3.22,-1.43671,99.93998,9.82E-02,1
50.933,3.23,-1.44492,99.93896,9.83E-02,1
51.059,3.24,-1.45178,99.93896,9.84E-02,1
51.178,3.25,-1.45352,99.93896,9.84E-02,1
51.307,3.26,-1.45524,99.93896,9.85E-02,1
51.42,3.27,-1.46599,99.93998,9.85E-02,1
51.562,3.28,-1.47271,99.941,9.86E-02,1
51.679,3.29,-1.47058,99.941,9.87E-02,1
51.802,3.3,-1.47744,99.94201,9.87E-02,1
51.924,3.31,-1.48427,99.94201,9.88E-02,1
52.065,3.32,-1.48839,99.94405,9.88E-02,1
52.183,3.33,-1.49396,99.94507,9.89E-02,1
52.296,3.34,-1.48928,99.94608,9.90E-02,1
52.434,3.35,-1.50753,99.9471,9.90E-02,1
52.549,3.36,-1.51182,99.94812,9.91E-02,1
52.687,3.37,-1.51465,99.94812,9.92E-02,1
52.803,3.38,-1.52663,99.94812,9.92E-02,1
52.932,3.39,-1.52437,99.94914,9.93E-02,1
53.066,3.4,-1.53105,99.94914,9.93E-02,1
53.205,3.41,-1.53645,99.94914,9.94E-02,1
53.326,3.42,-1.53295,99.94914,9.95E-02,1
53.438,3.43,-1.53978,99.94812,9.95E-02,1
53.576,3.44,-1.54002,99.94812,9.96E-02,1
53.698,3.45,-1.55186,99.94812,9.96E-02,1
53.827,3.46,-1.56109,99.94812,9.97E-02,1
53.951,3.47,-1.5576,99.94812,9.98E-02,1
54.073,3.48,-1.56814,99.9471,9.98E-02,1
54.207,3.49,-1.56844,99.9471,9.99E-02,1
54.337,3.5,-1.57122,99.94608,1.00E-01,1
54.463,3.51,-1.57534,99.9471,0.10001,1
54.599,3.52,-1.57684,99.94608,0.10008,1
54.721,3.53,-1.57971,99.9471,0.10014,1
54.858,3.54,-1.58247,99.94608,0.1002,1
54.985,3.55,-1.58276,99.9471,0.10027,1
55.121,3.56,-1.58932,99.94608,0.10033,1
55.245,3.57,-1.59216,99.94507,0.10039,1
55.373,3.58,-1.59624,99.94405,0.10046,1
55.493,3.59,-1.60543,99.94405,0.10051,1
55.642,3.6,-1.60427,99.94303,0.10059,1
55.767,3.61,-1.61088,99.941,0.10065,1
55.892,3.62,-1.61495,99.93896,0.10071,1
56.024,3.63,-1.62023,99.93795,0.10077,1
56.148,3.64,-1.61421,99.93591,0.10083,1
56.277,3.65,-1.6258,99.93388,0.1009,1
56.411,3.66,-1.63105,99.93286,0.10096,1
56.534,3.67,-1.63763,99.93184,0.10102,1
56.67,3.68,-1.63529,99.93286,0.10109,1
56.82,3.69,-1.64039,99.93286,0.10116,1
56.932,3.7,-1.64327,99.93388,0.10122,1
