,,,,,,,,,,,,,0.954504477,0.938632955,0.91710027,0.886441207,0.841544933,0.771245597,0.665177593,0.509360582,0.992763678,0.987248911,0.978640729,0.967551224,0.309447847,0.141160106,0.094483381
##Temp./øC,Time/min,DTA/(mW/mg),Mass/%,Sensit./(æV/mW),,"mass, g","m-minf-mh2o, g",(m-minf-mash)/(mo-minf-mash),dm/dt,1/T(k),"k, s-1",,9.6891933,,,,,,6.567606691,,2.904267263,,,,,,
345.80401,51.53,-9.1526,95.62691,0.25937,,9.964324022,9.964324022,0.978640729,-0.039778646,0.001615629,0.003992107,,,,,,,,,,,,,,,,
350.74202,52.03,-9.34972,95.42861,0.26158,,9.943661162,9.943661162,0.976611338,-0.04177164,0.001602841,0.004200831,,,,,,,,,,,,,,,,
355.692,52.53,-9.53557,95.22013,0.26374,,9.921937546,9.921937546,0.974477764,-0.043686248,0.001590225,0.004402996,,,,,,,,,,,,,,,,
360.64702,53.03,-9.71829,95.00678,0.26585,,9.899706476,9.899706476,0.972294352,-0.045548456,0.001577792,0.004600991,,,,,,,,,,,,,,,,
365.60402,53.53,-9.89911,94.78124,0.26791,,9.876205208,9.876205208,0.969986187,-0.047383964,0.001565548,0.004797791,,,,,,,,,,,,,,,,
370.55501,54.03,-10.08172,94.54331,0.26993,,9.851412902,9.851412902,0.967551224,-0.049210759,0.001553507,0.0049953,,,,,,,,,,,,,,,,
375.50203,54.53,-10.26332,94.30653,0.27188,,9.826740426,9.826740426,0.96512803,-0.051073124,0.001541659,0.005197362,,,,,,,,,,,,,,,,
380.45803,55.03,-10.44812,94.05896,0.27379,,9.800943632,9.800943632,0.962594412,-0.053019861,0.001529969,0.005409669,,,,,,,,,,,,,,,,
385.42101,55.53,-10.63157,93.80388,0.27565,,9.774364296,9.774364296,0.959983937,-0.055064005,0.001518439,0.005633513,,,,,,,,,,,,,,,,
390.38503,56.03,-10.81389,93.54087,0.27744,,9.746958654,9.746958654,0.957292306,-0.057249033,0.001507079,0.005873528,,,,,,,,,,,,,,,,
395.34301,56.53,-11.00997,93.26846,0.27918,,9.718573532,9.718573532,0.954504477,-0.059611558,0.001495902,0.006133777,,,,,,,,,,,,,,,,
400.30901,57.03,-11.20599,92.9865,0.28086,,9.6891933,9.6891933,0.951618913,-0.06220123,0.001484871,0.00641965,,,,,,,,,,,,,,,,
405.26803,57.53,-11.41512,92.69252,0.28248,,9.658560584,9.658560584,0.948610337,-0.065050441,0.001474017,0.006735004,,,,,,,,,,,,,,,,
410.21901,58.03,-11.62923,92.38317,0.28404,,9.626326314,9.626326314,0.945444466,-0.068216619,0.001463338,0.007086464,,,,,,,,,,,,,,,,
415.19701,58.53,-11.85501,92.06003,0.28554,,9.592655126,9.592655126,0.942137468,-0.071774257,0.001452756,0.00748221,,,,,,,,,,,,,,,,
420.14702,59.03,-12.08603,91.71759,0.28697,,9.556972878,9.556972878,0.938632955,-0.075740028,0.001442383,0.007925106,,,,,,,,,,,,,,,,
425.13201,59.53,-12.33457,91.36097,0.28835,,9.519813074,9.519813074,0.934983325,-0.080159625,0.001432086,0.008420294,,,,,,,,,,,,,,,,
430.10701,60.03,-12.59,90.98331,0.28965,,9.480460902,9.480460902,0.931118373,-0.085083657,0.001421955,0.008974633,,,,,,,,,,,,,,,,
435.08501,60.53,-12.857,90.58251,0.2909,,9.438697542,9.438697542,0.927016607,-0.090575135,0.001411961,0.009596148,,,,,,,,,,,,,,,,
440.04702,61.03,-13.14143,90.1557,0.29207,,9.39422394,9.39422394,0.922648656,-0.096703219,0.001402137,0.010293902,,,,,,,,,,,,,,,,
445.01802,61.53,-13.43928,89.69915,0.29317,,9.34665143,9.34665143,0.917976348,-0.103525034,0.001392432,0.011076163,,,,,,,,,,,,,,,,
449.99101,62.03,-13.76172,89.21186,0.29421,,9.295875812,9.295875812,0.912989447,-0.11109001,0.001382856,0.011950462,,,,,,,,,,,,,,,,
454.96501,62.53,-14.09251,88.68756,0.29518,,9.241243752,9.241243752,0.907623789,-0.119513687,0.001373409,0.012932641,,,,,,,,,,,,,,,,
459.93703,63.03,-14.44725,88.12209,0.29608,,9.182321778,9.182321778,0.901836799,-0.128834709,0.001364095,0.014030733,,,,,,,,,,,,,,,,
464.91402,63.53,-14.81908,87.51649,0.2969,,9.119218258,9.119218258,0.895639121,-0.139170925,0.001354896,0.015261278,,,,,,,,,,,,,,,,
469.88701,64.03,-15.2183,86.8622,0.29766,,9.05104124,9.05104124,0.888943152,-0.15061328,0.001345828,0.016640437,,,,,,,,,,,,,,,,
474.86501,64.53,-15.63971,86.15151,0.29834,,8.976987342,8.976987342,0.881669988,-0.163677815,0.001336872,0.018233045,,,,,,,,,,,,,,,,
479.83901,65.03,-16.08717,85.37851,0.29896,,8.896440742,8.896440742,0.873759147,-0.178079455,0.001328041,0.020016933,,,,,,,,,,,,,,,,
484.81502,65.53,-16.55722,84.5397,0.2995,,8.80903674,8.80903674,0.86517481,-0.193896606,0.001319322,0.022011102,,,,,,,,,,,,,,,,
489.79802,66.03,-17.05807,83.63271,0.29997,,8.714528382,8.714528382,0.855892722,-0.211213722,0.001310705,0.024236965,,,,,,,,,,,,,,,,
494.77101,66.53,-17.57925,82.63811,0.30036,,8.610891062,8.610891062,0.845714038,-0.230215552,0.001302217,0.026735392,,,,,,,,,,,,,,,,
499.77602,67.03,-18.1345,81.56391,0.30068,,8.498959422,8.498959422,0.834720732,-0.250991076,0.001293785,0.029531977,,,,,,,,,,,,,,,,
504.74001,67.53,-18.72597,80.3887,0.30093,,8.37650254,8.37650254,0.822693696,-0.273762857,0.001285529,0.032682239,,,,,,,,,,,,,,,,
509.73201,68.03,-19.34741,79.10309,0.3011,,8.242541978,8.242541978,0.809536831,-0.298601884,0.001277332,0.036226917,,,,,,,,,,,,,,,,
514.717,68.53,-20.00931,77.59874,0.3012,,8.085788708,8.085788708,0.794141393,-0.325734957,0.00126925,0.040284871,,,,,,,,,,,,,,,,
519.69704,69.03,-20.70691,76.04935,0.30123,,7.92434227,7.92434227,0.778285018,-0.355169766,0.001261277,0.044820094,,,,,,,,,,,,,,,,
