,char_GF_23_06_10.csv,char_GF_24_06_10.csv,char_GF_reground_25_10_10.csv,char_LF_24_06_10.csv,char_LF_24_06_10again.csv,char_LF_reground_22_10_10.csv,char_NF_23_06_10.csv,char_NF_24_06_10.csv,char_NF_reground_2_11_10.csv,char_GB_reground_1_11_10.csv,char_N2_reground_2_11_10.csv,char_GD_30_06_10.csv,char_GD_30_06_10_again.csv,char_QD_30_06_10.csv
370,0.0167871689413919,0.017739443484734,0.0135727304418661,0.0089485970670014,0.00899591051178223,0.00730175656130388,0.014992431667237,0.00782820458754664,0.00757483703825538,0.00469728934821543,0.00459241751240733,0.00597728668871662,0.00597728668871662,0.00365787007313063
380,0.0207001178652249,0.0211188274090338,0.0179163803985503,0.00851857021693703,0.00920433409031576,0.00886553103860732,0.00846075160304348,0.0100202191273935,0.00911626562740751,0.00545088173449943,0.00514749460723999,0.00675979201452172,0.00675979201452172,0.00385325930548956
390,0.0257942287676262,0.0250318912347626,0.023326472856016,0.0119777476231363,0.011919689225866,0.0109826808322369,0.0116243577806214,0.0117472575844292,0.0118409541583042,0.00607120952040954,0.00562578842024733,0.00734509197835171,0.00734509197835171,0.00408505522511168
400,0.0325625637748267,0.0334331537430678,0.0300711611439858,0.0129181116973271,0.0137597499329522,0.0130678083223967,0.014107408990294,0.0147089087259385,0.0145648437048182,0.00689533692795343,0.00628123941294306,0.00828881393725773,0.00828881393725773,0.00483826621010551
410,0.0405629587594796,0.0398314200581421,0.0396478797139133,0.017760435648253,0.0158005320096831,0.0165282541188699,0.0175485368002843,0.0176810291527697,0.0184496040005238,0.00754257477948575,0.00682251735983281,0.00916821468404957,0.00916821468404957,0.00578755181069919
420,0.0500454082935692,0.0495055815441213,0.0485636426506808,0.0132578609056421,0.0206094420331081,0.0215937994804927,0.0220376352437521,0.0223224929985131,0.0234262918366767,0.00846923883551406,0.00773786868696022,0.0104820555267875,0.0104820555267875,0.00674502207827113
430,0.0599290979457432,0.0572477925625349,0.0591292586554201,0.0274947414913439,0.0228473921385787,0.0267419518535206,0.0283028649996393,0.0279692125064493,0.0294501792053492,0.00964995440854794,0.00835437661100546,0.0118969661058494,0.0118969661058494,0.00743676826521708
440,0.0711232174857146,0.069111067487488,0.069756192124503,0.0368211084720832,0.0332067243250273,0.0366901670977566,0.0381816885433637,0.0393730300580446,0.0367849798912882,0.0110497759013059,0.00989392309383586,0.0147074579200399,0.0147074579200399,0.00910230923114429
450,0.0819864964156919,0.0789511499321296,0.0807560910169747,0.0408114404981199,0.039215694410846,0.0403645245946185,0.0415567469044302,0.0429038061373961,0.0437396645475668,0.0127642252597765,0.0115418792003237,0.0173206529688729,0.0173206529688729,0.0109269846911941
460,0.0942775984126421,0.0911745428830303,0.0934689617882602,0.046508829377907,0.0447086591562502,0.0471043735953198,0.0485703685851623,0.0493274614851053,0.0505277776487905,0.0140192468241971,0.0133694890581813,0.0217058673443781,0.0217058673443781,0.0138442333278274
470,0.108639859135904,0.104204485973836,0.108499916967524,0.0533230173800085,0.0519408345036623,0.0535107003609168,0.0557912005648377,0.0576413569529895,0.0569549242945647,0.018110502522057,0.0155105442715983,0.0265010751764993,0.0265010751764993,0.0173514889708221
480,0.125311576570586,0.117437290444979,0.12714458642155,0.0605376317435493,0.0604518760097113,0.0612119970430754,0.0627735801963414,0.0643711071341523,0.0654441892265992,0.0202861613350991,0.018548683513842,0.0327218933646346,0.0327218933646346,0.0211507930692849
490,0.144007727221489,0.13504010253085,0.148804447360168,0.0687258256210026,0.0636105227971703,0.0708641892408533,0.0717845837332039,0.0741783644937752,0.0762546754484171,0.0253741638498871,0.0222948571845743,0.0401446995205963,0.0401446995205963,0.0257691416983384
500,0.168098142560093,0.150272230413953,0.175695962711622,0.0833733239063325,0.0770015061166561,0.0839497428665517,0.0846554896679541,0.0866007061023384,0.0913024455602848,0.0308341151583862,0.0272764635133168,0.0488190756985105,0.0488190756985105,0.0313368960181867
