,char_GF_23_06_10.csv,char_GF_24_06_10.csv,char_GF_reground_25_10_10.csv,char_LF_24_06_10.csv,char_LF_24_06_10again.csv,char_LF_reground_22_10_10.csv,char_NF_23_06_10.csv,char_NF_24_06_10.csv,char_NF_reground_2_11_10.csv,char_GB_reground_1_11_10.csv,char_N2_reground_2_11_10.csv,char_GD_30_06_10.csv,char_GD_30_06_10_again.csv,char_QD_30_06_10.csv
370,0.0204600249924987,0.0221321834648754,0.0169481298242084,0.00974568919974387,0.0101876834080336,0.00824439219386225,0.0167355725642392,0.00879423382847262,0.00848594940090197,0.00516854289229562,0.00501742114403282,0.00664093949410221,0.00664093949410221,0.00427071294817592
380,0.0253335750694391,0.0264685269703429,0.0224619465658462,0.00928478801707634,0.0104354948277302,0.0100207054367608,0.0094556172374431,0.0112695262042295,0.0102232916763895,0.00600085690130715,0.00562647549410156,0.00751568938034715,0.00751568938034715,0.0045016292254007
390,0.0317363727785164,0.0315567203729324,0.0293994525821288,0.0130675049989521,0.0135327520867983,0.0124297103108626,0.0130074206846604,0.0132296914846461,0.0132962220237436,0.00668773382609076,0.00615237775845346,0.00817301796939911,0.00817301796939911,0.00477573650802742
400,0.0403364313247855,0.0424760006833691,0.0381658388946997,0.0141094772742661,0.0156480696471687,0.0148135912824477,0.0158107099897494,0.0165926137594221,0.0163817366913061,0.00760063559219258,0.00687298756455241,0.00923123241821992,0.00923123241821992,0.00566072160647129
410,0.0507115055815236,0.051103638015196,0.0508171604761435,0.0194257645360373,0.0180046271367448,0.0187739637699442,0.0197055281031274,0.0199867768482752,0.0207946566993905,0.00832033650571012,0.00746984874066522,0.0102206552575109,0.0102206552575109,0.00677736326017465
420,0.0632938695209431,0.0643356143984472,0.063036383056364,0.0145245304211306,0.0235458598323773,0.0245914813506263,0.0248078409120391,0.0253008066855254,0.0264759425768407,0.00935042399833914,0.00847797537615425,0.0116985921142331,0.0116985921142331,0.00790682898211146
430,0.0769573072171485,0.0756431757579007,0.0780508881327349,0.030197279669848,0.0261915234158875,0.0305587986475003,0.0319662507659391,0.0318093035388579,0.0334011032676368,0.0106641583784953,0.00916069997873011,0.0132954840802369,0.0132954840802369,0.0087284631584666
440,0.0931379000697883,0.093280705247547,0.094083479018901,0.0405636714468065,0.0382364334497833,0.0421125016260429,0.0433011184929298,0.0449840564307134,0.0419191064173241,0.0122245579469349,0.0108586386472301,0.0164624880653113,0.0164624880653113,0.0106990599563958
450,0.110087626365466,0.109492629686122,0.112015390615161,0.0451347738845972,0.0454047726395145,0.0465992387812566,0.0473809773626237,0.0493007011564447,0.0501338778208953,0.014139367828863,0.0126805185107095,0.0194250485860034,0.0194250485860034,0.0128665276916143
460,0.130787946023076,0.130957308637892,0.134430014281353,0.0516858583359512,0.0521253013123403,0.0547582252261862,0.0557429297942465,0.0570909861951107,0.0583247640256459,0.0155534236609699,0.0147065219519028,0.0244018998710779,0.0244018998710779,0.016338347286259
